UNIQID	AVERAGE	Pv.1	Pv.2	Sst.1	Sst.2	Gad2.1	Gad2.2	Gad2.3	Purkinje.1	Purkinje.2	Purkinje.3	Camk2a.1	Camk2a.2	Camk2a.3	Neocortex.1	Neocortex.2	Neocortex.3	Cerebellum.1	Cerebellum.2	Cerebellum.3
mmu-miR-434-3p	36435.62	51682.85	49800.05	45864.39	37860.89	36748.32	36781.07	41358.87	38994.11	42801.91	33203.22	39587.64	35027.69	32644.64	23899.19	43794.75	37761.54	22336.35	22751.22	19378.02
mmu-miR-125a-5p	33034.35	21936.55	23799.32	48804.71	33059.62	21494.71	27691	15584.21	20842.1	16532.19	11329.17	19340.33	20806.71	23695.12	19832.23	19435.32	13829.63	88995.75	94813.45	85830.47
mmu-miR-24	32872.76	29753.74	28956.63	38599.59	32319.08	31486.93	24119.71	24874.03	16295.61	16984.63	16259.78	67075.2	70326.73	87654.56	32861.38	17439.33	32333.04	19840.08	20971.45	16431.01
mmu-miR-34a	31965.73	117724.37	119808.79	16195.25	14745.61	52380.2	34229.38	30436.75	56254.28	47662.67	46595.2	8868.93	10079.76	12080.24	3234.02	1832.51	4664.51	9066.26	10013.45	11476.68
mmu-miR-218	31123.13	65591.77	64444.91	10541.38	14363.13	22860.41	24781.91	15179	1420.17	1669.63	1136.47	55755.02	67141.47	57211.83	21237.52	30269.33	29837.33	38517.39	34416.87	34963.85
mmu-miR-137	29068.74	2456.43	2120.1	29911.56	23595.41	19575.29	17110.64	29929.87	111.48	80.08	115.42	49907.72	44689.5	55794.96	122911.44	68876.45	72041.13	4740.48	3617.23	4720.79
mmu-miR-101b	28738.49	19460.57	21741.29	44511.52	60573.36	29775.94	29630.39	34430.17	25325.57	26698.14	26431.76	22583.12	25050.85	21804.4	25146.26	27814.6	28050.98	24450.45	27480.05	25071.88
mmu-miR-27b	28404.75	18334.78	19462.95	21841.3	22545.64	16701.42	17105.25	14198.18	17638.23	19787.38	15155.87	67855.09	52495.53	73633.46	47300.48	27436.38	33322.98	18555.35	17937.35	18382.71
mmu-miR-181c	25199.04	23314.69	23893.74	29340.69	37193.6	22222.48	20872.1	27643.22	31733.31	24259.76	38311.41	8298.55	9219.7	10957.53	21530.67	20660.25	30564.28	26914.2	37693.95	34157.59
mmu-miR-30b	24192.37	23073.51	20178.98	19604.78	12483.31	16606.68	13713.33	14995.72	36047.14	35418.68	25677.08	16930.79	13741.44	16540.81	12410.27	13784.07	23961.54	51088.2	45062.05	48336.63
mmu-miR-382	21408.87	21063.11	27521.08	35886.05	32229.57	43538.23	25676.08	35631.48	20221.68	18293.91	27707.33	11900.25	15488.07	14515.77	19855.5	13064.25	18697.88	8610.92	8838.08	8029.23
mmu-miR-153	20613.55	18541.5	15971.13	57062.65	39818.02	23219.03	22158.73	17563.02	1124.5	1053.03	952.98	19198.71	12301.25	24481.12	36663.1	25330.58	33213.71	14213.3	15240.37	13550.72
mmu-miR-384-5p	20486.41	36743.12	36610.84	45512.48	31281.52	38839.68	31793.67	36784.12	12859.09	11447.21	11252.22	6961.86	4374.37	8312.97	11563.37	7422.76	20558.31	10399.78	12273.08	14251.33
mmu-miR-381	19689.53	9953.3	11584.05	38388.45	34255.87	20669.39	22072.42	24768.07	10057.52	9901.7	8020.39	23642.39	19389.13	26613.98	16779.69	16192.44	20913.91	18571.61	20124.09	22202.71
mmu-miR-376b	19447.18	12694.67	14372.09	23288	28612.34	24094.88	31728.93	39812.47	7818.21	9168.98	5865.83	37812.49	46920.35	38079.42	8859.82	17346.61	14376.93	2886.57	3088.77	2669
mmu-miR-487b	18861.55	13750.62	23711.89	35753.11	33543.82	30310.71	26167	38410.7	3867.91	4768.67	3353.17	19449.94	28316.43	22743.61	12731.34	19000.99	23762.44	6309.79	6484.29	5932.96
mmu-miR-154	18428.47	19576.96	19844.13	29974.12	27033.61	19145.09	18293.43	21632.33	21215.32	24792.28	21853.34	17420.65	21068.7	16749.84	13931.89	12163.85	12893.39	10464.83	11583.65	10503.61
mmu-miR-320	18277.88	12489.81	13852.77	19784.64	24124.37	23351.67	17737.78	22759.19	15369.84	12107.86	24185.46	7409.04	6559.99	9204.89	9762.56	4926.54	6776.83	33459.8	44621.66	38794.97
mmu-miR-338-3p	18138.00	10659.13	8553.84	9321.46	11543.4	6881.84	6769	6212.78	30710.59	26185.64	31498.52	6144.13	6165.44	7433.34	31386.3	19335.28	25771.05	33435.41	34158.72	32456.1
mmu-miR-30c	17729.80	29875.73	26078.54	24335.89	14428.24	17511.3	15289.93	16795.55	39377.02	28672.08	27636.3	8944.59	6425.88	11083.33	6412.2	4323.84	13107.31	14001.89	16257.81	16308.68
mmu-miR-133a	17645.88	14292.56	20528.68	523.94	508.61	3637.43	4483	3820.16	80198.46	104041.88	81698.45	1228.05	1359.87	1259.86	991.15	836.95	940.87	5309.66	5302.85	4309.32
mmu-miR-335-5p	16746.82	7299.46	7773.99	34439.34	31082.15	13365.77	16205.68	23787.26	300.51	308.3	313.71	26846.37	18755.2	30262.08	25788.41	31848.07	36257.64	3870.44	4686.31	4998.81
mmu-miR-708	16470.77	9737.27	13317.72	17078.91	14542.16	9253.93	10953.94	16985.99	16358.62	15074.76	12607.69	34951.89	43376.41	38464.38	11288.83	21053.1	24285.66	1179.02	1333.3	1100.96
mmu-miR-133b	15607.00	2340.97	2584.34	31.28	44.76	490.56	666.25	548.4	83256.91	107168.94	83761.26	105.73	120.86	85.13	107.03	161.05	93.53	5334.05	5305.88	4326
mmu-miR-26b	15598.84	8368.44	7603.51	12824.82	10981.9	9258.84	8017.87	7783.51	6587.07	6182.05	5327.19	7230.56	4225.44	6291.71	23229.12	10197.14	19707.27	47242.15	43118.28	52201.12
mmu-miR-151-5p	15453.45	2770.24	3709.52	8406.52	7031.02	4099.21	4104.02	4206.76	37161.95	40775.93	35082.54	10545.13	15125.49	13993.67	17193.83	16882.99	24621.82	13823	16916.87	17164.98
mmu-miR-100	14876.24	2026.23	2046.66	11628.36	12385.66	9628.69	10367.27	9299.84	8622.81	9064.88	9153.9	11526.79	11891.88	10378.68	37486.73	36406.16	30342.03	20327.95	19206.88	20857.09
mmu-miR-21	14868.12	21324.77	17133.9	21067.12	13191.3	6529.54	10183.85	8692.74	17260.17	14253.96	9290.04	8596.35	6643.42	9942.65	21507.41	12141.89	15536.34	22897.4	22708.7	23592.81
mmu-miR-23b	13161.32	5235.98	4985.95	7694.89	6054.49	6543.58	7450.08	11759.75	7978.16	8344.17	4039.79	19131.78	19987.19	20370.51	21721.46	27802.4	29876.23	14465.37	14724.06	11899.27
mmu-miR-341	12407.51	11120.06	12905.07	21528.5	28893.09	10876.49	8678.72	3532.36	22339.82	29196.59	44464.32	7204.37	6696.45	10914.97	4602.08	1956.95	2483.67	2382.44	2864.02	3102.71
mmu-miR-411	11999.36	6461.4	8011.79	15241.21	18505.25	11666.71	11947.91	10667.25	10929.98	11391.15	14919.11	19293.77	17640.94	16085.86	17789.45	11390.34	11621.93	4919.36	4160.88	5343.55
mmu-miR-340-5p	11421.08	5922.25	4945.73	10713.42	8569.05	5319.64	6468.25	7839.36	20158.67	21396.95	18828.67	10201.74	7423.17	9833.87	13722.49	9225.98	10619.94	16083.47	14581.31	15146.55
mmu-miR-126-3p	11339.32	1623.96	1902.41	5677.33	5415.67	2151.02	2499.1	2207.91	2234.47	2622.57	2302.53	6628.17	7223.55	6819.49	22880.12	23659.12	33129.44	27426.47	28467.12	30576.69
mmu-miR-149	11032.94	12668.6	14884.41	33391.46	32843.97	13836.68	19175.46	18317.6	1362.01	1289.26	645.18	8085.15	8263.73	9459.32	5318.69	8379.27	8753.95	4350.18	4425.11	4175.87
mmu-miR-130a	10580.98	7506.18	10098.67	16437.67	17504.31	13909.66	13709.28	8483.69	930.62	880.86	1006.25	2747.11	2197.32	3049.38	9539.2	6700.49	7099.1	22612.81	28412.45	28213.51
mmu-miR-186	10102.18	12327.79	10637.22	14889.31	16784.11	6525.33	7250.48	8788.67	15394.07	13501.22	15078.92	7797.05	6613.79	8832.23	7757	6439.4	9222.53	6732.62	9451.58	7918.02
mmu-miR-99b	10027.94	5232.26	4672.09	7718.35	8349.33	4493.62	6253.81	4193.88	11303.2	11138.91	11601.45	10113.47	6587.28	8214.6	5998.06	5900.14	4099.62	25873.41	25606.13	23181.34
mmu-miR-143	9991.22	871.58	1018.52	437.92	471.99	421.78	427.53	326.46	174.49	192.19	177.57	458.82	582.47	452.11	44280.5	46940.03	39842.38	18002.43	17439.26	17315.11
mmu-miR-652	9875.10	5944.6	7611.38	7733.99	10603.49	6697.97	6314.5	6125.44	27356.47	32467.79	34694.84	3316.51	4417.25	3295.3	4383.38	4074.95	3129.12	6261.01	7276.99	5921.84
mmu-miR-342-3p	9871.67	11961.84	10207.08	23882.32	16771.91	9804.14	9455.56	5800.41	11259.58	10093.88	14404.14	5537.87	3363.04	6824.22	8208.37	4423.88	6192.5	8594.66	10711.99	10064.34
mmu-miR-23a	9795.23	4288.05	4169.38	7624.51	5387.19	4232.55	4655.63	5637.18	741.59	864.85	343.31	14351.5	13175.34	14296.34	21260.78	27856.08	29265.03	9619.18	10678.59	7662.24
mmu-miR-361	9648.60	8787.47	9100.25	16727.01	10636.04	10352.24	10128.55	11071.03	13232.31	13180.91	12036.5	13575.48	8680.12	13295.64	6095.78	3952.95	4533.01	5919.5	5585.3	6433.39
mmu-miR-98	9212.52	7055.49	6704.76	6748.67	5488.91	8071.39	7022.55	10330.77	21292.87	21036.6	19390.99	4246.76	5835.61	4652.58	8836.56	8225.55	12038.65	6594.39	5609.6	5855.11
mmu-miR-195	9179.11	2793.52	3466.47	7045.83	4605.97	2176.98	3598.27	2371.14	402.3	388.38	266.36	5248.8	3885.47	4586.37	2833.84	3774.82	3633.82	39110.97	41721.2	42492.64
mmu-miR-497	9085.42	1534.57	1646.25	2048.84	2408.77	1708.88	2178.11	1224.23	271.43	280.27	230.85	3465.89	3509.63	2889.53	3252.63	3284.36	2396.62	44445.02	51558.49	44288.65
mmu-miR-674	8808.66	4951.97	5432.7	8547.28	10892.38	7402.58	6623.34	9308.43	707.66	620.61	958.9	15360.32	18343.49	14954.64	20520.91	15079.76	14030.58	4171.29	5053.8	4403.84
mmu-miR-132*	8794.52	1691.94	1825.47	5583.49	6123.66	3732.87	4504.57	6520.63	571.95	720.71	458.73	21075.7	27390.87	20222.95	14336.72	23380.95	25032.06	1650.63	1321.16	950.83
mmu-miR-541	8700.90	5840.31	5931.91	20230.38	16841.08	8346.5	8046.2	12233.69	5641.91	4456.36	6149.95	3094.38	4616.87	4889.03	11977.51	14072	15186.29	5569.86	6493.41	5699.42
